time,longitude,latitude,EA1,SSH1,Radius1,U1,track1,c1,Year,Month,RNL1
3/27/2001,12,-21,0.0078,-0.018,39100,0.0607,164564,0,2001,3,
3/28/2001,12,-21,0.0052,-0.02,38450,0.0594,164564,0.0594,2001,3,1
3/25/2001,19,-37,0.0713,-0.198,37850,0.4574,164594,0.4494,2001,3,1.0178015131286158
3/26/2001,19,-37,0.0779,-0.204,34850,0.4956,164594,0.4956,2001,3,1
3/27/2001,19,-37,0.0798,-0.204,34750,0.4896,164594,0.4896,2001,3,1
3/28/2001,19,-37,0.0892,-0.19,41350,0.5139,164594,0.4875,2001,3,1.0541538461538462
3/29/2001,19,-37,0.0848,-0.17,43700,0.4663,164594,0.4523,2001,3,1.0309529073623702
3/26/2001,3,-34,0.0105,-0.026,30750,0.0946,164632,0.0946,2001,3,1
3/27/2001,2,-34,0.0156,-0.024,32300,0.1053,164632,0.1053,2001,3,1
3/28/2001,2,-34,0.0144,-0.026,30850,0.1008,164632,0.1008,2001,3,1
3/29/2001,2,-34,0.0162,-0.028,31000,0.1075,164632,0.1075,2001,3,1
3/29/2001,7,-37,0.0226,-0.054,29250,0.1977,164827,0.1977,2001,3,1
3/30/2001,7,-37,0.0187,-0.042,32700,0.1702,164827,0.1702,2001,3,1
3/31/2001,8,-37,0.0173,-0.032,35950,0.1361,164827,0.1361,2001,3,1
4/1/2001,8,-37,0.0174,-0.036,31350,0.1086,164827,0.1086,2001,4,1
3/29/2001,13,-39,0.0367,-0.178,41950,0.2686,164839,0.2686,2001,3,1
3/30/2001,13,-39,0.0381,-0.176,41300,0.2753,164839,0.2753,2001,3,1
3/31/2001,13,-39,0.033,-0.17,46850,0.2394,164839,0.2394,2001,3,1
4/1/2001,13,-38,0.0445,-0.136,75600,0.2838,164839,0.2838,2001,4,1
4/2/2001,12,-38,0.0287,-0.143,53800,0.1984,164839,0,2001,4,
4/3/2001,12,-38,0.0129,-0.15,32000,0.113,164839,0.113,2001,4,1
4/4/2001,12,-38,0.0189,-0.142,34950,0.1133,164839,0.1133,2001,4,1
4/5/2001,12,-38,0.0159,-0.131,34250,0.1009,164839,0,2001,4,
4/6/2001,12,-38,0.013,-0.12,33600,0.0886,164839,0.0886,2001,4,1
4/2/2001,9,-37,0.017,-0.048,40850,0.0772,165059,0.075,2001,4,1.0293333333333334
4/3/2001,9,-37,0.0146,-0.052,36700,0.0808,165059,0.0808,2001,4,1
4/4/2001,10,-37,0.0124,-0.046,28800,0.106,165161,0.106,2001,4,1
4/5/2001,10,-37,0.0161,-0.052,34350,0.1175,165161,0.1175,2001,4,1
4/6/2001,10,-37,0.022,-0.056,40150,0.1376,165161,0.1234,2001,4,1.1150729335494327
4/7/2001,10,-37,0.0297,-0.056,42400,0.1594,165161,0.1448,2001,4,1.1008287292817678
4/8/2001,10,-37,0.0382,-0.054,44350,0.1695,165161,0.1555,2001,4,1.090032154340836
4/9/2001,10,-37,0.0413,-0.052,43600,0.1812,165161,0.1746,2001,4,1.0378006872852232
4/10/2001,10,-37,0.0377,-0.054,43150,0.1888,165161,0.1836,2001,4,1.0283224400871458
4/11/2001,10,-37,0.0318,-0.06,37750,0.1943,165161,0.1892,2001,4,1.026955602536998
4/5/2001,11,-19,0.0048,-0.024,33050,0.0684,165195,0.0684,2001,4,1
4/6/2001,11,-19,0.0082,-0.02,44750,0.0636,165195,0.0636,2001,4,1
